score,content,date
5,굳,2024-10-22
5,좋아요~~^^,2024-10-22
5,사용이 좋아,2024-10-22
5,좋아요,2024-10-22
5,항상 잘 이용하고 있습니다. 좋아요,2024-10-22
5,예약이 편해요,2024-10-22
5,좋아요,2024-10-22
5,제일 저렴해요,2024-10-21
5,너무 편리합니다,2024-10-21
5,좋아요,2024-10-21
5,사용이 편리함,2024-10-21
5,좋음,2024-10-21
1,35원 준게 사람이냐 왤케 짜치냐,2024-10-21
5,숙소찾기 좋음,2024-10-21
5,요즘 법인카드 숙박포인트가 쌓이질않네요. 그리고 포인트소멸이 너무 빨리됩니다. 모을수가없어요~,2024-10-21
5,간편하니 좋아요. 다양한 호텔.펜션.리조트 선택지가 많아요~,2024-10-21
5,너무 간편해서 너무 좋아요,2024-10-21
5,좋음,2024-10-21
5,굳!,2024-10-21
5,편하고 좋으네용~,2024-10-21
5,숙소 알아볼땐 무조껀 야널좌~~♡,2024-10-20
5,좋아요~,2024-10-20
5,할인쿠폰도 많고 선택옵션도 많아 잘쓰고있습니다,2024-10-20
5,간편하고 좋아요 ~,2024-10-20
5,사장님 너무친절해요,2024-10-20
5,잘찾아냄,2024-10-20
1,무서워서 어디 어플 쓰겠나... 지들 귀책사유를 모르고 남탓만 처 하고있으니 귀책이 나와도 또 저럴거아니야... 자신들 잘못은 없다는식으로...,2024-10-20
5,혜택이좋습니다.,2024-10-19
5,잘쓰고있어요,2024-10-19
5,👍🏻,2024-10-19
4,빠르고 편해요.,2024-10-19
4,간편합니다,2024-10-19
5,굿,2024-10-19
4,좋아요,2024-10-18
5,아주좋아요,2024-10-18
5,굳,2024-10-18
5,좋아요,2024-10-18
5,최고랍니다,2024-10-18
5,좋아요,2024-10-18
5,깨끗하고 친절하셔요,2024-10-18
5,빠르고 편리해서 자주 이용하게되네요,2024-10-18
1,아니 ㅡㅡ 내가 예약하고간곳 너무맘에들어서 후기남기고싶어서 후기남기려는데 뭔 밀크앱인가?? 연동안하면 남길수가없네요. 포인트필요없고 그냥후기만이라도 남길수있게 해줘요,2024-10-18
5,국내여행 해외여행 필수~~,2024-10-18
1,5일전에 예약날 일이생겨서 예약날짜 딱 하루뒤로 미뤄서 변경하려는데 변경안된다고 취소수수료 20%물고 취소하라고함 10월 주중이라 화요일에서 수요일로 변경이라 예약 거의없음 펜션에 전화하니 그다음날도 전날도 예약없다고 자기네한테 직접 예약하면 더 싼데 왜 거기서예약했냐 입금하면 더 싸다고 변경안해주면 취소수수료빼고 현금입금하라하고만함 ㅡㅡ 야놀자에선 숙소에서 벌써 우리 숙박에대한 숙박준비를마처서 수수료물라고함 ㅋㅋㅋ 5일전에 우리숙박준비를 다하다니 뭔소리인지? 변경 절대안된다고 취소수수료를 38000원때감 창조경제 오지네 야놀자어플지웠음 모텔 대실전문업체인듯,2024-10-18
5,좋아요,2024-10-18
1,35원 장난치남,2024-10-18
5,너무좋아요,2024-10-18
5,"편한 검색과 다양한 혜택, 할인",2024-10-18
5,"사용이 편리하고 정보를 많이 볼수있어서 좋네요,,",2024-10-17
5,굳,2024-10-17
5,다양한 리뷰가 선택의 리스크를 낮춰줍니다. 또한 할인율이 더욱 맘에 듭니다.,2024-10-17
5,이용하기가 편해요 끝.,2024-10-17
5,GOOD,2024-10-17
5,좋아요,2024-10-17
1,네 35원 야놀자씨 탈퇴할게요 35원 이슈가 저한테도 발생할수있는데 뭘믿고 이 앱을 쓰나요? ㅋㅋ,2024-10-16
4,글을 써야만 적립해주는게 별로네요,2024-10-16
5,가격이 좋아요♡♡,2024-10-16
5,믿을 수 있어요.,2024-10-16
5,감사합니다 수고하십시요,2024-10-16
4,굿,2024-10-15
5,사용이 편해요,2024-10-15
5,편리하고 좋아요,2024-10-15
5,아주 훌륭해요 말이 필요없어요,2024-10-15
4,시설 깨끗하고 친절합니다,2024-10-15
5,쓰기 편해서 자주 사용함,2024-10-15
5,편리함,2024-10-15
5,할인도 되고 쓰기편해요,2024-10-15
5,좋아요,2024-10-15
5,좋아요 자주이용하려고 노력합니다,2024-10-14
3,8ㅐㅐㅅ헤,2024-10-14
5,조아요,2024-10-14
5,간편한 예약및 편리한시각화,2024-10-14
5,굿,2024-10-14
5,야 놀자 너무 좋아요 ~ 여행갈때 필수 입니다,2024-10-14
5,앱 자체는 편리합니다. 결제도 빠르고요. 근데 정책이 너무 정신없어서.. ㅇㄱㄷ ㅇㄱㅇㄸ 등등을 비교하기가 번거로울뿐... 야놀자가 짱먹어서 번거로울일 없게 해주세요,2024-10-14
5,여기어때에선 여행지 최저가가 6만원인데 야놀자는 4만원,2024-10-13
5,편리함,2024-10-13
5,이용하기 편리합니다,2024-10-13
5,편하고 좋아요!,2024-10-13
5,좋아요,2024-10-13
5,접근성 및 예약시스템이 너무 편하네요,2024-10-12
5,좋습니다 ㅎㅎ,2024-10-12
5,간편하고 좋네요,2024-10-12
5,아주 맘에들어요,2024-10-12
5,좋습니다.,2024-10-12
5,유용함,2024-10-12
5,좋아요,2024-10-12
5,진짜 깔끔하고 남성분들 좋아할 곳,2024-10-12
5,좋아요 할인이 많아서,2024-10-11
5,굿이여라~~,2024-10-11
5,인파 투어는 쿠폰받은할인가격을 야놀자는 걍띠아주뿌네요!!,2024-10-11
5,고속버스예매까지 되니 너무 좋아요. 고속버스어플 깔필요도없이 앞으로 자주이용할게요,2024-10-11
5,굿굿궁굿굿👍👍,2024-10-11
5,그량편해요,2024-10-11
5,편리한 앱,2024-10-11
5,쿠폰좋아요!,2024-10-11
5,😀,2024-10-11
5,빠르고 확실한 정보제공으로 밸류업 굿입니다.,2024-10-11
5,좋아요,2024-10-11
5,확실하게 저렴한데 추천해주세요,2024-10-11
5,굿,2024-10-11
5,숙소가 많습니다,2024-10-11
5,접속,2024-10-11
5,편하고좋네요,2024-10-10
5,굿,2024-10-10
5,야놀자 등 숙박사이트 없었으면 난 큰타격임 너무도움받아서 좋음,2024-10-10
4,찾아보기 편리함. 쿠폰객실이 많아 싸게 이용가능. 그래서 숙박앱은 이거방에 안씀,2024-10-10
5,Good,2024-10-10
5,야 놀자 최고~☆☆☆☆☆,2024-10-10
5,편하고 좋아요,2024-10-10
2,남해 검색했는데 특가라고 거제도가 사이사이 껴있어서 모르고 예약함 남해까지가서 거제까지 또 1시간반 운전함,2024-10-10
5,가성비 최고 뷰 최고,2024-10-10
5,good,2024-10-10
5,출장때문에 방 여러개를 잡을때가 많은데 장바구니가 되는게 너무좋네요 여기어때 안쓰는이유,2024-10-10
4,쿠폰마니주세요ㅠ,2024-10-09
4,예약하기 편해요,2024-10-09
5,굳,2024-10-09
5,사용이 편함,2024-10-09
5,굿,2024-10-09
5,추천은 아니지만 댓글 보고 후기 남겨요 사진 인테리어 이쁘네요 ㅎㅅㅎ 👍,2024-10-09
5,찾아 헤멜필요 없고 저렴한 모텔 고룰수 있어서 좋아여,2024-10-09
5,너무 청결하고 좋아요,2024-10-09
5,감사합니다,2024-10-08
5,아주좋아요 아주좋아요,2024-10-08
5,굿입니다 편리하네요,2024-10-08
5,가성비 최고입니당,2024-10-08
5,😀,2024-10-08
5,숙소 알아보기 좋네요~,2024-10-08
5,좋아요,2024-10-08
4,쓰고 싶었는데 여행 언제가지?,2024-10-08
5,사용하기 좋음,2024-10-08
5,검색하고 바로 여러가지 정보를 얻을 수 있어서 좋아요,2024-10-08
5,정말 편리하고 고객혜택도 다양해서 정말 좋습니다~,2024-10-07
5,너무 쉽고 편리해요,2024-10-07
5,아주 아주 좋아요,2024-10-07
5,굿,2024-10-07
5,좋아요 ㅎ,2024-10-07
5,편리하네요~,2024-10-07
5,ㅎㅎ자주이용해요 넘좋아요,2024-10-07
5,많이 있어서 쓰기 아주 좋습니다.,2024-10-07
5,아주나이스합니다,2024-10-07
5,편해요,2024-10-07
5,편리하고 저렴하고 아주 좋아요~~. 감사합니다~~~.,2024-10-07
5,시설이깨끗하고 친절해요!!!,2024-10-07
5,편하게 사용하고 있습니다,2024-10-07
4,알찬정보 도움이많이됍니다,2024-10-07
5,처음 해보는 60대인데 사용하는데 불편하지 않았습니다.,2024-10-06
5,자세한설명과저렴한가격이좋아요~^^,2024-10-06
5,편하고 좋아요~~,2024-10-06
5,빠른검색 감사합니다,2024-10-06
5,좋아요!,2024-10-06
1,예약하고 방문할 때마다 방이 없답니다. 관리 안되는. 곧 망할 듯.,2024-10-06
5,좋아여,2024-10-05
4,좋아요 다음에도 이용하고파요,2024-10-05
5,좋아요,2024-10-05
5,숙소찿기 빠르고 편하고 결제도 간편해요^^,2024-10-05
5,언제나 어디서나 정보를 통하여 편안하고 깨끗한 숙박업소를 저렴한가격에 추천받을수 있어서 넝수 좋아요 지방출장이나 가족여행 때에 잘 이용하고 있답니다 오늘도 대전에 출장이 있어 선택 중에만월이라는 숙박업소를 저렴하게 추천받아 이용합니다 항상 감사해요^^,2024-10-05
3,",🏥",2024-10-05
5,놀카드 제휴 좋습니다.,2024-10-05
5,예약이 간편하고 리뷰가 믿을만 합니다,2024-10-05
5,좋아요,2024-10-05
5,Good,2024-10-04
5,좋습니다,2024-10-04
5,싸고 좋아요,2024-10-04
5,좋은아침입니닿 ㅎ,2024-10-04
5,편함,2024-10-04
5,좋아요~^^,2024-10-04
5,할인이많고 사용하기편리해요,2024-10-04
5,집에서 정보를 볼수있고 마무리까지 할수 있어서 편해요,2024-10-04
5,"빠르고결재방법도많고좋은호텔.모텔도많고,참좋아요! 모든방법이간단해서좋음. 딴데는좀복잡하더라고~~",2024-10-04
2,"쿠폰 관련 개선이 필요. 골드 클래스가 되도 쿠폰적용 안되고, 페이 관련 결제도 혜택인 척 하면서 결국 순번 정해서 시간에 맞춰서 받아야 함. 꼬시는 혜택만 많타. 그런데 네이버페이는 괜찮다. 네이버에 기본 적립도 된다. 늘 카카오페이 사용했는데, 후회가 막심 ㅜㅜ 적립이나 쿠폰 할인 받기 겁나 빡심 ㅡㅡ",2024-10-03
5,리뷰짱,2024-10-03
5,좋아요 ㅎㅎ,2024-10-03
5,전국으로 출장다니는데 주변숙소를 정할때 많은 도움이 되요,2024-10-03
1,"1. 해외숙소 검색해서 229,858원이라 눌러보면 490,220원으로 나옴 -11월 8일~12일 APA 호텔 하카타 에키마에 3 초메 2. 검색필터에 예약마감 해도 예약마감 호텔만 나옴 - 같은날 R&B Hotel Hakata Ekimae 2 3. 검색필터 저장하는 것도 없음 4. 더블베드와 트윈베드 검색하는 것도 없음",2024-10-03
5,간편해서 좋아요,2024-10-03
5,좋아요,2024-10-03
5,좋아용 ㅎㅎㅎㅎㅎㅎㅎㅎ,2024-10-03
5,위×프 먹튀. 카드사에서도 모르쇠 그치만 야놀자에서 포인트로 보상해주셔서 여행 차질없이 진행할수있었다 진짜 야놀자같은업체가 흥하시길 위×프는이미 망해서 할말없지만 국내 대기업 카드사보다 고객에게 진심인 야놀자 감사합니다ㅜㅜ,2024-10-03
5,편함,2024-10-03
5,초보자도 이용이 용이하며 타 경쟁사보다 쿠폰도 많고 합리적입니다,2024-10-03
5,간단하고 편리하게 이용가능합니다~,2024-10-02
5,너무 좋습니다,2024-10-02
3,좋아요,2024-10-02
5,좋아요,2024-10-02
5,깨끗하고 친절해요,2024-10-02
4,쿠폰도 주고 무료취소도 되고 좋아요,2024-10-02
5,좋아요♡♡♡♡♡♡♡,2024-10-02
5,할인혜택이 좋아요,2024-10-02
5,여기가 타앱보다 입점된곳이 많음,2024-10-02
5,편하네요,2024-10-02
1,수수료 부담하는것도 아니고 아예 당일취소불가는 뭡니까? 체크인시간 지난것도 아니고 양아치같이 장사하지맙시다,2024-10-02
5,굳 좋아요,2024-10-01
5,좋어요,2024-10-01
5,잘 사용하고 있어요.,2024-10-01
3,놀카드 발급이 꽤나 반거롭고 시간도 걸리네요. 드디어 발급받고 첫사용합니다. 자주 이용할 것 같네요 ~,2024-10-01
5,검색이 쉽고 무료 취소 일자가 여유있음,2024-10-01
5,할인이 좋아서 이용중,2024-10-01
5,제일 편한하게 이용할수 있고 할인도 많이 되요,2024-10-01
5,좋아요,2024-10-01
5,예약.할인 편하고 좋아요,2024-10-01
5,좋아요,2024-10-01
5,싸고 좋은 곳이 많아요.,2024-10-01
4,방구하기 편하고 좋습니다,2024-10-01
5,쉽고 빠르게 검색할수있고 최저가할인으로 숙박예매할수 있어서 좋았어요^^,2024-10-01
5,좋아요,2024-10-01
5,좋아요,2024-09-30
5,제일 쓰기편해요,2024-09-30
5,👍,2024-09-30
5,굿,2024-09-30
5,항상 여행갈때는 여기서 숙소잡아요ㅎㅎ,2024-09-30
5,다른 플랫폼에 비해 사용하기 편하고 무엇보다 등록된 업체들 퀄리티가 좋은 것들이 많이 나오더라구요ㅎㅎ,2024-09-30
5,편해요,2024-09-29
5,잘 이용하고 있어요.,2024-09-29
5,아직모른데 좋을꺼,2024-09-29
5,할인혜택이 좋아요,2024-09-29
5,보기편해요,2024-09-29
5,편리하고 너무좋습니다,2024-09-29
4,괜찮아요 😊,2024-09-29
5,방이많아요,2024-09-29
5,많은정보와 가격대비 짱이에요,2024-09-29
4,깨끗해요,2024-09-29
5,좋아요^^,2024-09-29
5,역시야놀자는 언제어디서나최고.,2024-09-29
5,편리함,2024-09-29
5,편리하네요,2024-09-29
4,국내해외 레저까지 다양해서 좋아요!,2024-09-29
5,그냥써보니 여기어때보다 더나은것같아서-!,2024-09-29
5,편하고 좋아요 계속 이용하고 있읍니다,2024-09-28
5,편리하고다양한정보 너무좋아요,2024-09-28
5,빠른정보 감사드립니다~,2024-09-28
5,편하고 좋아요,2024-09-28
5,편리하네요,2024-09-28
5,굳,2024-09-28
4,조아요,2024-09-28
4,Good,2024-09-28
5,좋아요,2024-09-28
5,혜택이 좋음,2024-09-28
5,모르는 지역에서 숙소 찾기 좋음.,2024-09-28
5,착한가격 숙소예약,2024-09-28
5,쿠폰 조아!,2024-09-28
5,GooD,2024-09-27
5,편리하고 할인도되고 자주 이용,2024-09-27
5,굿,2024-09-27
5,굳굳,2024-09-27
5,굿굿굿,2024-09-27
5,편합니다,2024-09-27
5,할인도 많이 되고 사용하기 편해요,2024-09-27
5,조아요,2024-09-27
5,사용하기 편하고 좋은 숙소를 찾기에 도움이 많이돼요,2024-09-26
5,다 좋은데 역주변 검색 기능 지하철 노선도 업데이트는 도대체 언제 하실 예정이신가요,2024-09-26
5,그냥.. 편리하고 다 ~ 좋네요ㅋ,2024-09-26
5,너무 좋아요 편하고~^^,2024-09-26
4,항상 만족하며 사용하고있어요.,2024-09-26
5,숙소 찾기고 예약하기 편리해요,2024-09-26
4,굿,2024-09-26
5,깨끗하고 조용해요,2024-09-26
5,pc옵션 선택할수있는 앱은 야놀자뿐이라 너무 편해요...,2024-09-26
5,편리합니다 깔끔합니다 가끔 쿠폰줍니ㄷㅏ 감사합니다 쿠폰좀많이주십쇼,2024-09-26
5,굿,2024-09-26
5,"여행어플 중 할인면에서나 숙박,레저 등 여행에 필요한 카테고리의 선택의 폭이 넓어 단연 으뜸입니다. 몇년째 잘 이용하고 있고, 평점도 믿을만하네요^^",2024-09-26
5,가격이 저렴해서 너무 좋아요 ^^,2024-09-26
5,좋아요할인도쵝오♡,2024-09-25
1,야놀자 통해 가족여행 팬션 예약하고 돈만 날리고 기분은. 잡치고 야놀자 팬션정보 사기로 올리고 결재 후 환불은 불가라는 답변만 대천에 있는 팬션을 예약하고 방문했는데 사진과 다른건 그렇다해도 카운터 주변 및 객실 복도 쓰레기 먼지 그리고 곰팡이 객실 상태도 심각 비품청소는 아에 그리고 객실내 곰팡이 및 꾸릿한 냄새 심각 당일 야놀자에 연락 후 환불 요청 그런데 야놀자 측에서는 규정상 어렵다는 답변 뿐 그리고 야놀자에 올라운 다른 숙소 2곳도 방문한 후 욕만 나와 그냥 귀가 야놀자 이용하면 오히려 이런 쓰레기. 업소로 인해 돈 날리고 스트레스만 쌓일 듯,2024-09-25
5,좋아요~~~,2024-09-25
5,할인 쿠폰도 자주 주고 앱 사용하기에도 편리해요~,2024-09-25
5,편리하고 정확한가격 좋아요,2024-09-25
5,저렴하게 잘 구매 했습니다,2024-09-25
5,"여러가지 선택 가능한 숙소, 간편결제 굿",2024-09-25
5,"지금 똑같은 숙소를 여기어때랑 구매하려 비교하는데, 어머나.. 10000원이나 차이남... 대박",2024-09-25
5,역시 좋은 앱,2024-09-25
5,편리합니다.,2024-09-25
5,편리,2024-09-25
5,"다양한혜택,다양한선택지",2024-09-25
5,좋아요,2024-09-24
5,야간대실이 가장긴곳이에요,2024-09-24
5,예약하기 쉽다~^^,2024-09-24
5,편해요,2024-09-24
5,굿,2024-09-24
5,완전좋아영,2024-09-24
5,할인쿠폰 좋아요,2024-09-24
5,매우만족함,2024-09-24
5,굿뜨,2024-09-24
5,이벤트가 많아서 좋아요,2024-09-24
5,이용하기가 매우 편리함,2024-09-24
1,놀카드 만들게 하더만... 항공권 결제 혜택 놀카드 다 중단해버리고.. 진심 양아치 같음...,2024-09-24
5,편해서 좋고 할인받아서 좋고 ㅋ안좋을게없음,2024-09-24
5,앱 사용하기가 편리하다.,2024-09-23
5,가장 저렴하고 편리해요^^,2024-09-23
5,좋아요,2024-09-23
5,편하네요 방찾기가,2024-09-23
5,조앙,2024-09-23
5,정보도 많고 예약하기 편리합니다,2024-09-23
5,포인트냠냠굿굿!!,2024-09-23
5,할인도 정보도 많네요,2024-09-23
5,깨끗하고 깔끔한 느낌.,2024-09-23
5,굉장히 간편하고 쉽게 사용할수있어요,2024-09-23
5,다양한 상품,2024-09-23
5,좋음,2024-09-23
5,여행갈때나 숙소필요할때 많은도움됩니다,2024-09-23
5,좋와요~~,2024-09-22
5,굿,2024-09-22
5,숙소 초이스가 편리,2024-09-22
4,좋습니다,2024-09-22
5,같은호텔최저가!,2024-09-22
5,Good,2024-09-22
5,숙박도 항공권도 예약편해서 좋아요.,2024-09-21
5,예약할때 편리하고 좋아요,2024-09-21
5,좋은 숙소를 현명한 가격에 예약가능합니다,2024-09-21
5,굿,2024-09-21
5,사용정말 간편합니다 구독 조아요 ㅋㅋ,2024-09-21
5,굿,2024-09-21
4,좋아요 결재 편리하고 가성비 좋은숙소가 많아서,2024-09-20
